id_number;section;sub_section;question;answer
"1";"1. Questions on American Government";"1. Principles of American Democracy";"What is the form of government of the United States?";"- Republic
- Constitution-based federal republic
- Representative democracy"
"2";"1. Questions on American Government";"1. Principles of American Democracy";"What is the supreme law of the land?";"(U.S.) Constitution"
"3";"1. Questions on American Government";"1. Principles of American Democracy";"Name one thing the U.S. Constitution does.";"- Forms the government
- Defines powers of government
- Defines the parts of government
- Protects the rights of the people"
"4";"1. Questions on American Government";"1. Principles of American Democracy";"The U.S. Constitution starts with the words ""We the People."" What does ""We the People"" mean?";"- Self-government
- Popular sovereignty
- Consent of the governed
- People should govern themselves
- (Example of) social contract"
"5";"1. Questions on American Government";"1. Principles of American Democracy";"How are changes made to the U.S. Constitution?";"- Amendments
- The amendment process"
"6";"1. Questions on American Government";"1. Principles of American Democracy";"What does the Bill of Rights protect?";"- (The basic) rights of Americans
- (The basic) rights of people living in the United States"
"7";"1. Questions on American Government";"1. Principles of American Democracy";"How many amendments does the U.S. Constitution have?";"- Twenty-seven (27)"
"8";"1. Questions on American Government";"1. Principles of American Democracy";"Why is the Declaration of Independence important?";"- It says America is free from British control.
- It says all people are created equal.
- It identifies inherent rights.
- It identifies individual freedoms."
"9";"1. Questions on American Government";"1. Principles of American Democracy";"What founding document said the American colonies were free from Britain?";"Declaration of Independence"
"10";"1. Questions on American Government";"1. Principles of American Democracy";"Name two important ideas from the Declaration of Independence and the U.S. Constitution.";"- Equality
- Liberty
- Social contract
- Natural rights
- Limited government
- Self-government"
"11";"1. Questions on American Government";"1. Principles of American Democracy";"The words ""Life, Liberty, and the pursuit of Happiness"" are in what founding document?";"Declaration of Independence"
"12";"1. Questions on American Government";"1. Principles of American Democracy";"What is the economic system of the United States?";"- Capitalism
- Free market economy"
"13";"1. Questions on American Government";"1. Principles of American Democracy";"What is the rule of law?";"- Everyone must follow the law;
- Leaders must obey the law;
- Government must obey the law;
- No one is above the law"
"14";"1. Questions on American Government";"1. Principles of American Democracy";"Many documents influenced the U.S. Constitution. Name one.";"- Declaration of Independence
- Articles of Confederation
- Federalist Papers
- Anti-Federalist Papers
- Virginia Declaration of Rights
- Fundamental Orders of Connecticut
- Mayflower Compact
- Iroquois Great Law of Peace"
"15";"1. Questions on American Government";"1. Principles of American Democracy";"There are three branches of government. Why?";"- So one part does not become too powerful
- Checks and balances
- Separation of powers"

"1. Questions on American Government";"2. System of Government";"Name one power of the president.";"- Signs bills into law
- Vetoes bills
- Enforces laws
- Commander in Chief (of the military)
- Chief diplomat
- Appoints federal judges"
"1. Questions on American Government";"2. System of Government";"What is one part of the judicial branch?";"- Supreme Court
- Federal Courts"
"1. Questions on American Government";"2. System of Government";"Why is the Electoral College important?";"- It decides who is elected president.
- It provides a compromise between the popular election of the president and congressional selection."
"1. Questions on American Government";"2. System of Government";"What are two Cabinet-level positions?";"- Attorney General
- Secretary of Agriculture
- Secretary of Commerce
- Secretary of Education
- Secretary of Energy
- Secretary of Health and Human Services
- Secretary of Homeland Security
- Secretary of Housing and Urban Development
- Secretary of the Interior;"
"1. Questions on American Government";"2. System of Government";"What does the President's Cabinet do?";"Advises the President (of the United States)"
"1. Questions on American Government";"2. System of Government";"The executive branch has many parts. Name one.";"- President (of the United States)
- Cabinet
- Federal departments and agencies"
"1. Questions on American Government";"2. System of Government";"Who appoints federal judges?";"The President (of the United States)"
"1. Questions on American Government";"2. System of Government";"Who vetoes bills?";"The President (of the United States)"
"1. Questions on American Government";"2. System of Government";"Who is Commander in Chief of the U.S. military?";"The President (of the United States)"
"1. Questions on American Government";"2. System of Government";"What does the judicial branch do?";"- Reviews laws
- Explains laws
- Resolves disputes (disagreements) about the law
- Decides if a law goes against the (U.S.) Constitution"
"1. Questions on American Government";"2. System of Government";"What is the purpose of the 10th Amendment?";"(It states that the) powers not given to the federal government belong to the states or to the people."
"1. Questions on American Government";"2. System of Government";"Who signs bills to become laws?";"The President (of the United States)"
"1. Questions on American Government";"2. System of Government";"What is the highest court in the United States?";"Supreme Court"
"1. Questions on American Government";"2. System of Government";"How many seats are on the Supreme Court?";"Nine (9)"
"1. Questions on American Government";"2. System of Government";"How many Supreme Court justices are usually needed to decide a case?";"Five (5)"
"1. Questions on American Government";"2. System of Government";"How long do Supreme Court justices serve?";"- (For) life
- Lifetime appointment
- (Until) retirement"
"1. Questions on American Government";"2. System of Government";"Supreme Court justices serve for life. Why?";"- To be independent (of politics)
- To limit outside (political) influence"
"1. Questions on American Government";"2. System of Government";"Who is the Chief Justice of the United States now?";"John Roberts"
"1. Questions on American Government";"2. System of Government";"If the president can no longer serve, who becomes president?";"The Vice President (of the United States)"
"1. Questions on American Government";"2. System of Government";"Name one power that is only for the states.";"- Provide schooling and education
- Provide protection (police)
- Provide safety (fire departments)
- Give a driver's license
- Approve zoning and land use"
"1. Questions on American Government";"2. System of Government";"Who elects U.S. senators?";"Citizens from their state"
"1. Questions on American Government";"2. System of Government";"Who is the governor of your state now?";"Ron DeSantis"
"1. Questions on American Government";"2. System of Government";"What is the capital of your state?";"Tallahassee"
"1. Questions on American Government";"2. System of Government";"Name one power that is only for the federal government.";"- Print paper money
- Mint coins
- Declare war
- Create an army
- Make treaties
- Set foreign policy"
"1. Questions on American Government";"2. System of Government";"Why does each state have two senators?";"- Equal representation (for small states)
- The Great Compromise (Connecticut Compromise)"
"1. Questions on American Government";"2. System of Government";"Name the three branches of government.";"- Legislative, executive, and judicial
- Congress, president, and the courts"
"1. Questions on American Government";"2. System of Government";"The President of the United States is in charge of which branch of government?";"Executive branch"
"1. Questions on American Government";"2. System of Government";"What part of the federal government writes laws?";"- (U.S.) Congress
- (U.S. or national) legislature
- Legislative branch"
"1. Questions on American Government";"2. System of Government";"What are the two parts of the U.S. Congress?";"Senate and House (of Representatives)"
"1. Questions on American Government";"2. System of Government";"Name one power of the U.S. Congress.";"- Writes laws
- Declares war
- Makes the federal budget"
"1. Questions on American Government";"2. System of Government";"How many U.S. senators are there?";"One hundred (100)"
"1. Questions on American Government";"2. System of Government";"How long is a term for a U.S. senator?";"Six (6) years"
"1. Questions on American Government";"2. System of Government";"Who is one of your state's U.S. senators now?";"- Ashley Moody
- Richard Scott"
"1. Questions on American Government";"2. System of Government";"How many voting members are in the House of Representatives?";"- Four hundred thirty-five (435)"
"1. Questions on American Government";"2. System of Government";"How long is a term for a member of the House of Representatives?";"Two (2) years"
"1. Questions on American Government";"2. System of Government";"Who elects members of the House of Representatives?";"Citizens from their (congressional) district"
"1. Questions on American Government";"2. System of Government";"How many senators does each state have?";"Two (2)"
"1. Questions on American Government";"2. System of Government";"What is the name of the Vice President of the United States now?";"James David Vance (J. D. Vance)"
"1. Questions on American Government";"2. System of Government";"Name your U.S. representative.";"Answers will vary."
"1. Questions on American Government";"2. System of Government";"What is the name of the Speaker of the House of Representatives now?";"Mike Johnson"
"1. Questions on American Government";"2. System of Government";"Who does a U.S. senator represent?";"- Citizens of their state
- People of their state"
"1. Questions on American Government";"2. System of Government";"Who does a member of the House of Representatives represent?";"- Citizens in their (congressional) district
- Citizens in their district
- People from their (congressional) district
- People in their district"
"1. Questions on American Government";"2. System of Government";"Some states have more representatives than other states. Why?";"- (Because of) the state's population
- (Because) they have more people
- (Because) some states have more people"
"1. Questions on American Government";"2. System of Government";"The President of the United States is elected for how many years?";"Four (4) years"
"1. Questions on American Government";"2. System of Government";"The President of the United States can serve only two terms. Why?";"- (Because of) the 22nd Amendment
- To keep the president from becoming too powerful"
"1. Questions on American Government";"2. System of Government";"What is the name of the President of the United States now?";"Donald Trump"
"1. Questions on American Government";"2. System of Government";"Why do U.S. representatives serve shorter terms than U.S. senators?";"To more closely follow public opinion"
"1. Questions on American Government";"3. Rights and Responsibilities";"What are three rights of everyone living in the United States?";"- Freedom of expression
- Freedom of speech
- Freedom of assembly
- Freedom to petition the government
- Freedom of religion
- The right to bear arms"
"1. Questions on American Government";"3. Rights and Responsibilities";"Who can vote in federal elections, run for federal office, and serve on a jury in the United States?";"- Citizens
- Citizens of the United States
- U.S. citizens"
"1. Questions on American Government";"3. Rights and Responsibilities";"It is important for all men age 18 through 25 to register for the Selective Service. Name one reason why.";"- Required by law
- Civic duty
- Makes the draft fair, if needed"
"1. Questions on American Government";"3. Rights and Responsibilities";"There are four amendments to the U.S. Constitution about who can vote. Describe one of them.";"- Citizens eighteen (18) and older (can vote).
- You don't have to pay (a poll tax) to vote.
- Any citizen can vote. (Women and men can vote.)
- A male citizen of any race (can vote)."
"1. Questions on American Government";"3. Rights and Responsibilities";"Why is it important to pay federal taxes?";"- Required by law
- All people pay to fund the federal government
- Required by the (U.S.) Constitution (16th Amendment)
- Civic duty"
"1. Questions on American Government";"3. Rights and Responsibilities";"What is one way Americans can serve their country?";"- Vote
- Pay taxes
- Obey the law
- Serve in the military
- Run for office
- Work for local, state, or federal government"
"1. Questions on American Government";"3. Rights and Responsibilities";"What are two examples of civic participation in the United States?";"- Vote
- Run for office
- Join a political party
- Help with a campaign
- Join a civic group
- Join a community group
- Give an elected official your opinion (on an issue)
- Contact elected officials
- Support or oppose an issue or policy
- Write to a newspaper"
"1. Questions on American Government";"3. Rights and Responsibilities";"How can people become United States citizens?";"- Be born in the United States, under the conditions set by the 14th Amendment
- Naturalize
- Derive citizenship (under conditions set by Congress)"
"1. Questions on American Government";"3. Rights and Responsibilities";"Name two promises that new citizens make in the Oath of Allegiance.";"- Give up loyalty to other countries
- Defend the (U.S.) Constitution
- Obey the laws of the United States
- Serve in the military (if needed)
- Serve (help, do important work for) the nation (if needed)
- Be loyal to the United States"
"1. Questions on American Government";"3. Rights and Responsibilities";"What do we show loyalty to when we say the Pledge of Allegiance?";"- The United States
- The flag"
"2. Questions on American History";"4. Colonial Period and Independence";"Who wrote the Declaration of Independence?";"(Thomas) Jefferson"
"2. Questions on American History";"4. Colonial Period and Independence";"What founding document was written in 1787?";"(U.S.) Constitution"
"2. Questions on American History";"4. Colonial Period and Independence";"James Madison is famous for many things. Name one.";"- Father of the Constitution
- Fourth president of the United States
- President during the War of 1812
- One of the writers of the Federalist Papers"
"2. Questions on American History";"4. Colonial Period and Independence";"Thomas Jefferson is famous for many things. Name one.";"- Writer of the Declaration of Independence
- Third president of the United States
- Doubled the size of the United States (Louisiana Purchase)
- First Secretary of State
- Founded the University of Virginia
- Writer of the Virginia Statute on Religious Freedom"
"2. Questions on American History";"4. Colonial Period and Independence";"George Washington is famous for many things. Name one.";"- Father of Our Country
- First president of the United States
- General of the Continental Army
- President of the Constitutional Convention"
"2. Questions on American History";"4. Colonial Period and Independence";"Benjamin Franklin is famous for many things. Name one.";"- Founded the first free public libraries
- First Postmaster General of the United States
- Helped write the Declaration of Independence
- Inventor
- U.S. diplomat"
"2. Questions on American History";"4. Colonial Period and Independence";"Why were the Federalist Papers important?";"- They helped people understand the (U.S.) Constitution.
- They supported passing the (U.S.) Constitution."
"2. Questions on American History";"4. Colonial Period and Independence";"The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.";"- (James) Madison
- (Alexander) Hamilton
- (John) Jay
- Publius"
"2. Questions on American History";"4. Colonial Period and Independence";"Alexander Hamilton is famous for many things. Name one.";"- First Secretary of the Treasury
- One of the writers of the Federalist Papers
- Helped establish the First Bank of the United States
- Aide to General George Washington
- Member of the Continental Congress"
"2. Questions on American History";"4. Colonial Period and Independence";"There were 13 original states. Name five.";"- New Hampshire
- Massachusetts
- Rhode Island
- Connecticut
- New York
- New Jersey
- Pennsylvania
- Delaware
- Maryland
- Virginia
- North Carolina
- South Carolina
- Georgia"
"2. Questions on American History";"4. Colonial Period and Independence";"When was the Declaration of Independence adopted?";"July 4, 1776"
"2. Questions on American History";"4. Colonial Period and Independence";"Name one reason why the Americans declared independence from Britain.";"- High taxes
- Taxation without representation
- British soldiers stayed in Americans' houses (boarding, quartering)
- They did not have self-government
- Boston Massacre
- Boston Tea Party (Tea Act)
- Stamp Act
- Sugar Act
- Townshend Acts
- Intolerable (Coercive)"
"2. Questions on American History";"4. Colonial Period and Independence";"What war did the Americans fight to win independence from Britain?";"- American Revolution
- The (American) Revolutionary War
- War for (American) Independence"
