id_number;section;sub_section;question;answer
1;Writing Vocabulary;People;Listen and type the word:;Adams
2;Writing Vocabulary;People;Listen and type the word:;Lincoln
3;Writing Vocabulary;People;Listen and type the word:;Washington
4;Writing Vocabulary;Civics;Listen and type the word:;American Indians
5;Writing Vocabulary;Civics;Listen and type the word:;capital
6;Writing Vocabulary;Civics;Listen and type the word:;citizens
7;Writing Vocabulary;Civics;Listen and type the word:;Civil War
8;Writing Vocabulary;Civics;Listen and type the word:;Congress
9;Writing Vocabulary;Civics;Listen and type the word:;Father of Our Country
10;Writing Vocabulary;Civics;Listen and type the word:;flag
11;Writing Vocabulary;Civics;Listen and type the word:;free
12;Writing Vocabulary;Civics;Listen and type the word:;freedom of speech
13;Writing Vocabulary;Civics;Listen and type the word:;President
14;Writing Vocabulary;Civics;Listen and type the word:;right
15;Writing Vocabulary;Civics;Listen and type the word:;Senators
16;Writing Vocabulary;Civics;Listen and type the word:;state/states
17;Writing Vocabulary;Civics;Listen and type the word:;White House
18;Writing Vocabulary;Places;Listen and type the word:;Alaska
19;Writing Vocabulary;Places;Listen and type the word:;California
20;Writing Vocabulary;Places;Listen and type the word:;Canada
21;Writing Vocabulary;Places;Listen and type the word:;Delaware
22;Writing Vocabulary;Places;Listen and type the word:;Mexico
23;Writing Vocabulary;Places;Listen and type the word:;New York City
24;Writing Vocabulary;Places;Listen and type the word:;United States
25;Writing Vocabulary;Places;Listen and type the word:;Washington
26;Writing Vocabulary;Places;Listen and type the word:;Washington, D.C.
27;Writing Vocabulary;Months;Listen and type the word:;February
28;Writing Vocabulary;Months;Listen and type the word:;May
29;Writing Vocabulary;Months;Listen and type the word:;June
30;Writing Vocabulary;Months;Listen and type the word:;July
31;Writing Vocabulary;Months;Listen and type the word:;September
32;Writing Vocabulary;Months;Listen and type the word:;October
33;Writing Vocabulary;Months;Listen and type the word:;November
34;Writing Vocabulary;Holidays;Listen and type the word:;Presidents’ Day
35;Writing Vocabulary;Holidays;Listen and type the word:;Memorial Day
36;Writing Vocabulary;Holidays;Listen and type the word:;Flag Day
37;Writing Vocabulary;Holidays;Listen and type the word:;Independence Day
38;Writing Vocabulary;Holidays;Listen and type the word:;Labor Day
39;Writing Vocabulary;Holidays;Listen and type the word:;Columbus Day
40;Writing Vocabulary;Holidays;Listen and type the word:;Thanksgiving
41;Writing Vocabulary;Other (Content);Listen and type the word:;blue
42;Writing Vocabulary;Other (Content);Listen and type the word:;dollar bill
43;Writing Vocabulary;Other (Content);Listen and type the word:;fifty/50
44;Writing Vocabulary;Other (Content);Listen and type the word:;first
45;Writing Vocabulary;Other (Content);Listen and type the word:;largest
46;Writing Vocabulary;Other (Content);Listen and type the word:;most
47;Writing Vocabulary;Other (Content);Listen and type the word:;north
48;Writing Vocabulary;Other (Content);Listen and type the word:;one
49;Writing Vocabulary;Other (Content);Listen and type the word:;one hundred/100
50;Writing Vocabulary;Other (Content);Listen and type the word:;people
51;Writing Vocabulary;Other (Content);Listen and type the word:;red
52;Writing Vocabulary;Other (Content);Listen and type the word:;second
53;Writing Vocabulary;Other (Content);Listen and type the word:;south
54;Writing Vocabulary;Other (Content);Listen and type the word:;taxes
55;Writing Vocabulary;Other (Content);Listen and type the word:;white
