id_number;section;sub_section;question;answer
"1";"1. Questions on American Government";"1. Principles of American Democracy";"What is the form of government of the US?";"Republic"
"2";"1. Questions on American Government";"1. Principles of American Democracy";"What is the supreme law of the land?";"Constitution"
"3";"1. Questions on American Government";"1. Principles of American Democracy";"Name one thing the US Constitution does.";"Forms the government"
"4";"1. Questions on American Government";"1. Principles of American Democracy";"The US Constitution starts with the words “We the People.” What does “We the People” mean?";"Self-government"
"5";"1. Questions on American Government";"1. Principles of American Democracy";"How are changes made to the US Constitution?";"Amendments"
"6";"1. Questions on American Government";"1. Principles of American Democracy";"What does the Bill of Rights protect?";"The basic rights of Americans"
"7";"1. Questions on American Government";"1. Principles of American Democracy";"How many amendments does the US Constitution have?";"27"
"8";"1. Questions on American Government";"1. Principles of American Democracy";"Why is the Declaration of Independence important?";"America is free from British control."
"9";"1. Questions on American Government";"1. Principles of American Democracy";"What founding document said the American colonies were free from Britain?";"Declaration of Independence"
"10";"1. Questions on American Government";"1. Principles of American Democracy";"Name two important ideas from the Declaration of Independence and the US Constitution.";"Equality and Liberty"
"11";"1. Questions on American Government";"1. Principles of American Democracy";"The words “Life, Liberty, and the pursuit of Happiness” are in what founding document?";"Declaration of Independence"
"12";"1. Questions on American Government";"1. Principles of American Democracy";"What is the economic system of the US?";"Capitalism"
"13";"1. Questions on American Government";"1. Principles of American Democracy";"What is the rule of law?";"No one is above the law."
"14";"1. Questions on American Government";"1. Principles of American Democracy";"Many documents influenced the US Constitution. Name one.";"Declaration of Independence"
"15";"1. Questions on American Government";"1. Principles of American Democracy";"There are three branches of government. Why?";"Checks and balances"
"16";"1. Questions on American Government";"2. System of Government";"Name the 3 branches of government.";"Legislative, executive, and judicial"
"17";"1. Questions on American Government";"2. System of Government";"The president of the US is in charge of which branch of government?";"Executive branch"
"18";"1. Questions on American Government";"2. System of Government";"What part of the federal government writes laws?";"Congress"
"19";"1. Questions on American Government";"2. System of Government";"What are the two parts of the US Congress?";"Senate and House"
"20";"1. Questions on American Government";"2. System of Government";"Name one power of the US Congress.";"Writes laws"
"21";"1. Questions on American Government";"2. System of Government";"How many US senators are there?";"100"
"22";"1. Questions on American Government";"2. System of Government";"How long is a term for a US senator?";"6 years"
"23";"1. Questions on American Government";"2. System of Government";"Who is one of your state’s US senators now?";"Richard Scott"
"24";"1. Questions on American Government";"2. System of Government";"How many voting members are in the House of Representatives?";"435"
"25";"1. Questions on American Government";"2. System of Government";"How long is a term for a member of the House of Representatives?";"2 years"
"26";"1. Questions on American Government";"2. System of Government";"Why do US representatives serve shorter terms than US senators?";"To more closely follow public opinion"
"27";"1. Questions on American Government";"2. System of Government";"How many senators does each state have?";"2"
"28";"1. Questions on American Government";"2. System of Government";"Why does each state have two senators?";"Equal representation"
"29";"1. Questions on American Government";"2. System of Government";"Name your US representative.";"IDN"
"30";"1. Questions on American Government";"2. System of Government";"What is the name of the Speaker of the House now?";"Mike Johnson"
"31";"1. Questions on American Government";"2. System of Government";"Who does a US senator represent?";"Citizens of their state"
"32";"1. Questions on American Government";"2. System of Government";"Who elects US senators?";"Citizens from their state"
"33";"1. Questions on American Government";"2. System of Government";"Who does a member of the House represent?";"Citizens in their district"
"34";"1. Questions on American Government";"2. System of Government";"Who elects members of the House?";"Citizens from their district"
"35";"1. Questions on American Government";"2. System of Government";"Some states have more representatives than other states. Why?";"They have more people"
"36";"1. Questions on American Government";"2. System of Government";"The president of the US is elected for how many years?";"4 years"
"37";"1. Questions on American Government";"2. System of Government";"The president of the US can serve only two terms. Why?";"22nd Amendment"
"38";"1. Questions on American Government";"2. System of Government";"What is the name of the president of the US now?";"Trump"
"39";"1. Questions on American Government";"2. System of Government";"What is the name of the vice president of the US now?";"J. D. Vance"
"40";"1. Questions on American Government";"2. System of Government";"If the president can no longer serve, who becomes president?";"Vice president"
"41";"1. Questions on American Government";"2. System of Government";"Name one power of the president.";"Signs bills into law"
"42";"1. Questions on American Government";"2. System of Government";"Who is Commander in Chief of the US military?";"President"
"43";"1. Questions on American Government";"2. System of Government";"Who signs bills to become laws?";"President"
"44";"1. Questions on American Government";"2. System of Government";"Who vetoes bills?";"President"
"45";"1. Questions on American Government";"2. System of Government";"Who appoints federal judges?";"President"
"46";"1. Questions on American Government";"2. System of Government";"The executive branch has many parts. Name one.";"President"
"47";"1. Questions on American Government";"2. System of Government";"What does the President’s Cabinet do?";"Advises the President"
"48";"1. Questions on American Government";"2. System of Government";"What are two Cabinet-level positions?";"Secretary of Education and Energy"
"49";"1. Questions on American Government";"2. System of Government";"Why is the Electoral College important?";"Decides who is elected president."
"50";"1. Questions on American Government";"2. System of Government";"What is one part of the judicial branch?";"Supreme Court"
"51";"1. Questions on American Government";"2. System of Government";"What does the judicial branch do?";"Reviews laws"
"52";"1. Questions on American Government";"2. System of Government";"What is the highest court in the US?";"Supreme Court"
"53";"1. Questions on American Government";"2. System of Government";"How many seats are on the Supreme Court?";"9"
"54";"1. Questions on American Government";"2. System of Government";"How many Supreme Court justices are usually needed to decide a case?";"5"
"55";"1. Questions on American Government";"2. System of Government";"How long do Supreme Court justices serve?";"For life"
"56";"1. Questions on American Government";"2. System of Government";"Supreme Court justices serve for life. Why?";"To be independent of politics"
"57";"1. Questions on American Government";"2. System of Government";"Who is the Chief Justice of the US now?";"John Roberts"
"58";"1. Questions on American Government";"2. System of Government";"Name one power that is only for the federal government.";"Print paper money"
"59";"1. Questions on American Government";"2. System of Government";"Name one power that is only for the states.";"Provide schooling and education"
"60";"1. Questions on American Government";"2. System of Government";"What is the purpose of the 10th Amendment?";"Powers not given to the federal government belong to the states or to the people."
"61";"1. Questions on American Government";"2. System of Government";"Who is the governor of your state now?";"Ron DeSantis"
"62";"1. Questions on American Government";"2. System of Government";"What is the capital of your state?";"Tallahassee"
"63";"1. Questions on American Government";"3. Rights and Responsibilities";"There are four amendments to the US Constitution about who can vote. Describe one of them.";"Citizens eighteen and older can vote."
"64";"1. Questions on American Government";"3. Rights and Responsibilities";"Who can vote in federal elections, run for federal office...?";"US citizens"
"65";"1. Questions on American Government";"3. Rights and Responsibilities";"What are three rights of everyone living in the US?";"Freedom of expression, speech and religion"
"66";"1. Questions on American Government";"3. Rights and Responsibilities";"What do we show loyalty to when we say the Pledge of Allegiance?";"The flag"
"67";"1. Questions on American Government";"3. Rights and Responsibilities";"Name two promises that new citizens make in the Oath of Allegiance.";"Be loyal to the US"
"68";"1. Questions on American Government";"3. Rights and Responsibilities";"How can people become US citizens?";"Naturalize"
"69";"1. Questions on American Government";"3. Rights and Responsibilities";"What are two examples of civic participation in the US?";"Vote or join a political party"
"70";"1. Questions on American Government";"3. Rights and Responsibilities";"What is one way Americans can serve their country?";"Pay taxes"
"71";"1. Questions on American Government";"3. Rights and Responsibilities";"Why is it important to pay federal taxes?";"Civic duty"
