id_number;section;sub_section;question;answer;short_answer
1;Part 9;General;Have you EVER claimed to be a U.S. citizen (in writing or any other way)?;This question asks whether you have ever told anyone — verbally, in writing, on a form, or in any other way — that you are a U.S. citizen when you were not. This includes checking a box on a job application, a government form, or any document that asked about citizenship status. Falsely claiming U.S. citizenship is a serious offense and can permanently bar you from naturalization. The correct answer for most applicants is No.;
2;Part 9;General;Have you EVER registered to vote or voted in any Federal, state, or local election in the United States?;Only U.S. citizens are allowed to vote in Federal and most state elections. This question asks if you registered to vote or actually cast a ballot before you were a citizen. If you did, it may be considered a violation of immigration law. Note: if you voted in a local election in a jurisdiction that legally allows non-citizens to vote, you may answer No.;
3;Part 9;General;Do you currently owe any overdue Federal, state, or local taxes in the United States?;USCIS requires that applicants be in good standing with U.S. tax obligations. If you have unpaid taxes that are past due — at the Federal, state, or local level — you should answer Yes. Having a payment plan in place with the IRS or state tax authority may still satisfy this requirement, but you should consult a tax professional if unsure.;
4;Part 9;General;Since you became a lawful permanent resident, have you called yourself a 'nonresident alien' on a Federal, state, or local tax return or decided not to file a tax return because you considered yourself to be a nonresident?;As a lawful permanent resident (green card holder), you are considered a U.S. tax resident and must file taxes as a resident alien. If you filed as a nonresident alien or skipped filing taxes because you thought you were not a resident, USCIS may question your commitment to your permanent resident status. This could affect your naturalization eligibility.;
5a;Part 9;Political Affiliations;Have you EVER been a member of, involved in, or in any way associated with any Communist or totalitarian party anywhere in the world?;U.S. immigration law restricts naturalization for individuals who have been affiliated with Communist or totalitarian parties. This includes membership, participation in meetings, paying dues, or any form of involvement. Some exceptions exist — for example, if membership was involuntary or required for employment in a country where such a party controlled the government.;
5b;Part 9;Political Affiliations;Have you EVER advocated or been associated with any group that promoted the violent overthrow of government, communism, terrorism, or sabotage?;This question covers a broad range of extremist ideologies and activities. It includes supporting the violent overthrow of any organized government, advocating for world communism, promoting the destruction of property, or supporting attacks on government officials. Even indirect support — such as donating money or distributing materials — for groups with these goals must be disclosed.;
6a;Part 9;Armed Groups;Have you EVER been associated with any group that used a weapon or explosive with intent to harm a person or damage property?;This includes any organization — political, military, religious, or otherwise — that has used weapons or explosives to harm people or destroy property. You must disclose any membership, financial support, logistical assistance, or other involvement with such groups, even if you personally did not participate in violent acts.;
6b;Part 9;Armed Groups;Have you EVER been associated with any group that engaged in kidnapping, assassination, or hijacking?;This question asks about involvement with groups that have committed serious crimes such as kidnapping people for ransom or political purposes, assassinating individuals, or taking control of planes, ships, or vehicles by force. Any type of support or association with such groups must be disclosed, regardless of your personal role.;
6c;Part 9;Armed Groups;Have you EVER been associated with a group that threatened, attempted, or incited others to commit the acts in 6a or 6b?;Even if a group did not actually carry out an attack, threatening to do so or encouraging others to act is treated the same way by USCIS. This includes planning, conspiring, or publicly calling for violent acts. If you had any connection to such a group, you must disclose it here.;
7a;Part 9;Human Rights Violations;Have you EVER ordered, committed, assisted, or participated in torture?;Torture is defined as deliberately inflicting severe physical or mental pain on a person. USCIS asks this to identify individuals who may have participated in human rights abuses, whether as a direct actor, someone giving orders, or someone providing assistance. This applies to actions anywhere in the world.;
7b;Part 9;Human Rights Violations;Have you EVER ordered, committed, assisted, or participated in genocide?;Genocide refers to acts committed with the intent to destroy a national, ethnic, racial, or religious group. Participation can include direct killing, causing serious harm, or deliberately creating conditions designed to destroy the group. Any involvement — whether ordering, planning, or assisting — must be disclosed.;
7c;Part 9;Human Rights Violations;Have you EVER ordered, committed, assisted, or participated in killing or trying to kill any person?;This question goes beyond self-defense and asks about any involvement in the killing or attempted killing of a person, in any context — war, political conflict, gang activity, or otherwise. You must answer Yes if you were involved in any capacity, including giving orders, assisting, or acting as part of a group.;
7d;Part 9;Human Rights Violations;Have you EVER intentionally and severely injured or tried to injure any person?;This covers acts of serious physical violence — not minor altercations — that you intentionally committed against another person. It includes acts of torture, mutilation, or any severe harm. The key word is 'intentionally,' meaning accidental injury does not apply, but any deliberate serious harm must be disclosed.;
7e;Part 9;Human Rights Violations;Have you EVER engaged in any sexual contact or activity with a person who did not consent or was unable to consent?;This question addresses sexual assault and abuse. It includes any sexual contact with a person who did not or could not give consent — including minors, people who were unconscious or incapacitated, or people who were threatened or coerced. Any such conduct, anywhere in the world, must be disclosed.;
7f;Part 9;Human Rights Violations;Have you EVER prevented someone from practicing his or her religion?;This asks whether you have ever used force, threats, imprisonment, or any other means to stop someone from practicing their faith. It is related to religious persecution and is evaluated in the context of human rights abuses. This can include actions taken as part of a government, military, or civilian group.;
7g;Part 9;Human Rights Violations;Have you EVER caused harm or suffering to any person because of his or her race, religion, national origin, social group, or political opinion?;This is a broad human rights question covering persecution based on protected characteristics. It includes physical harm, psychological harm, or other forms of suffering deliberately inflicted on someone because of who they are or what they believe. Any involvement in such acts, anywhere in the world, must be disclosed.;
8a;Part 9;Military and Armed Groups;Have you EVER served in, been a member of, or participated in any military or police unit?;This includes service in any country's official armed forces, police force, border patrol, intelligence service, or other government security unit. If you answered Yes, you must provide details in Part 14, including the country, name of the unit, your rank, and the dates of your service.;
8b;Part 9;Military and Armed Groups;Have you EVER served in or been associated with any armed group, paramilitary unit, self-defense unit, rebel group, or guerrilla group?;This question covers non-official armed groups — organizations that carry weapons and use them, but are not part of a country's official military. This includes militias, rebel forces, vigilante groups, and paramilitary organizations. Even if you consider your group's cause to have been just, you must still disclose your involvement.;
9;Part 9;Military and Armed Groups;Have you EVER worked, volunteered, or served in a place where people were detained, such as a prison, jail, prison camp, detention facility, or labor camp?;USCIS asks this to identify people who may have participated in or witnessed human rights violations in detention settings. Even if you worked there in a non-supervisory role — as a guard, administrator, cook, or volunteer — you must disclose it. This does not automatically disqualify you, but the circumstances will be reviewed.;
10a;Part 9;Military and Armed Groups;Were you EVER part of any group that used a weapon against any person or threatened to do so?;This question is similar to 6a but focuses on whether you personally were part of a group that used or threatened to use weapons against people. Even if you did not personally fire a weapon, being a member of such a group and supporting its activities is enough to require a Yes answer.;
10b;Part 9;Military and Armed Groups;When you were part of that group, did you ever use a weapon against another person?;This follow-up question asks specifically whether you personally used a weapon during your time with the group identified in 10a. This is important for assessing the degree of your personal involvement in any violence. You must answer this honestly even if the events occurred long ago or in another country.;
10c;Part 9;Military and Armed Groups;When you were part of that group, did you ever threaten another person that you would use a weapon against them?;This asks whether you personally made threats involving weapons while a member of the group identified in 10a. Threatening someone with a weapon — even without carrying out the threat — is considered a serious act and must be disclosed here.;
